post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47613447,CC leak: skills are better than I thought,worldnews,16,5,KaseKun,2026-04-03 00:57:59,0.29411764705882354,False
47610245,Things I Think I Think... Preferring Local OSS LLMs,technology,33,8,zdw,2026-04-03 00:58:01,0.23529411764705882,False
47573137,Order and Tension,sports,14,0,surprisetalk,2026-04-03 00:58:02,0.0,False
47576106,"Reverse Engineering Crazy Taxi, Part 2",science,75,8,wgreenberg,2026-04-03 00:58:03,0.10526315789473684,False
47602832,EmDash – A spiritual successor to WordPress that solves plugin security,worldnews,655,487,elithrar,2026-04-03 00:58:04,0.7423780487804879,True
47557385,The revenge of the data scientist,technology,164,35,hamelsmu,2026-04-03 00:58:05,0.21212121212121213,False
47608495,Quantum computing bombshells that are not April Fools,sports,250,94,Strilanc,2026-04-03 00:58:06,0.3745019920318725,True
47615876,Even GPT-5.2 Can't Count to Five: Zero-Error Horizons in Trustworthy LLMs,technology,49,68,daigoba66,2026-04-03 00:58:07,1.36,False
47604155,SpaceX files to go public,science,379,543,nutjob2,2026-04-03 00:58:09,1.4289473684210525,True
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,65,22,jeditobe,2026-04-03 00:58:10,0.3333333333333333,False
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,18,0,mooreds,2026-04-03 00:58:11,0.0,False
47613272,Tracing Goroutines in Realtime with eBPF,worldnews,8,0,darccio,2026-04-03 00:58:12,0.0,False
47588476,"Trap a quantum object in a box – is it hard or soft, or is it black or white?",sports,8,0,allangoff,2026-04-03 00:58:13,0.0,False
47606840,DRAM pricing is killing the hobbyist SBC market,science,592,513,ingve,2026-04-03 00:58:15,0.8650927487352446,True
47609090,The Weather Channel – RetroCast,worldnews,300,55,typeofhuman,2026-04-03 00:58:16,0.18272425249169436,True
47608058,A new C++ back end for ocamlc,sports,228,20,glittershark,2026-04-03 00:58:17,0.08733624454148471,True
47584386,Fast and Gorgeous Erosion Filter,science,228,21,runevision,2026-04-03 00:58:18,0.09170305676855896,True
47610336,r/programming bans all discussion of LLM programming,technology,170,168,cryptoz,2026-04-03 00:58:19,0.9824561403508771,True
47615360,Japanese X is now America's favorite corner of the internet,entertainment,36,5,mikhael,2026-04-03 00:58:20,0.13513513513513514,False
47605494,Jax's true calling: Ray-Marching renderers on WebGL,worldnews,86,14,BenoitP,2026-04-03 00:58:21,0.16091954022988506,False
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,sports,81,39,prabal97,2026-04-03 00:58:22,0.47560975609756095,False
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,325,44,hauntsaninja,2026-04-03 00:58:24,0.13496932515337423,True
47573450,Intuiting Pratt Parsing,science,160,47,signa11,2026-04-03 00:58:25,0.2919254658385093,False
47582220,Axios compromised on NPM – Malicious versions drop remote access trojan,worldnews,1921,797,mtud,2026-04-03 00:58:26,0.41467221644120705,True
47558073,Ariane 6 user's manual [pdf],sports,66,22,matthieu_bl,2026-04-03 00:58:27,0.3283582089552239,False
47616451,Medical bill analyzer that runs client-side (OCR and 3.3M CMS rules in-browser,science,7,5,abdusm,2026-04-03 00:58:28,0.625,False
47573138,Set the Line Before It's Crossed,entertainment,74,47,surprisetalk,2026-04-03 00:58:29,0.6266666666666667,False
47609241,Trinity Large Thinking,worldnews,52,17,kristianp,2026-04-03 00:58:30,0.32075471698113206,False
47603737,AI for American-produced cement and concrete,technology,214,116,latchkey,2026-04-03 00:58:33,0.5395348837209303,True
47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,123,120,thinkingemote,2026-04-03 00:58:34,0.967741935483871,False
47571183,Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),sports,196,80,wazHFsRy,2026-04-03 00:58:35,0.40609137055837563,True
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,5,2,mempko,2026-04-03 00:58:36,0.3333333333333333,False
47612627,Zstandard Across the Stack,science,9,4,oddurmagnusson,2026-04-03 00:58:39,0.4,False
47613536,Show HN: I ran 28 OpenClaw instances as a team for 2 months,sports,8,5,TJ_FLEET,2026-04-03 00:58:40,0.5555555555555556,False
47616250,Ask HN: What is your dev set up like?,entertainment,7,8,break_the_bank,2026-04-03 00:58:41,1.0,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,37,6,ruevs,2026-04-03 00:58:42,0.15789473684210525,False
47601859,Ask HN: Who is hiring? (April 2026),entertainment,260,242,whoishiring,2026-04-03 00:58:43,0.9272030651340997,True
47615872,Protecting Your Host from Malicious Dependencies,worldnews,9,2,Brajeshwar,2026-04-03 00:58:44,0.2,False
47601858,Ask HN: Who wants to be hired? (April 2026),sports,78,219,whoishiring,2026-04-03 00:58:46,2.7721518987341773,False
47616414,Can a laptop beat Amazon's last mile routing system?,science,5,0,pantherolive,2026-04-03 00:58:47,0.0,False
47615145,Stripe closed my UAE business account and is withholding $3.5K,entertainment,11,0,alganzory,2026-04-03 00:58:48,0.0,False
47614384,Node.js Security Bug Bounty Program Paused,worldnews,14,0,0xedb,2026-04-03 00:58:49,0.0,False
47617028,Anthropic's AutoDream Is Flawed,sports,5,0,k1musab1,2026-04-03 00:58:50,0.0,False
47597935,CERN levels up with new superconducting karts,science,391,85,fnands,2026-04-03 00:58:51,0.21683673469387754,True
